Biomarker_1,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
AGRIN_TIMP2,0.92377,1.0,0.01887,1.0,0.4902,0.51515
TIMP2_AGRIN,0.92377,1.0,0.0566,1.0,0.5,0.0101
TIMP2_CLIC1,0.90453,1.0,0.11321,1.0,0.51546,0.0101
CLIC1_TIMP2,0.90453,1.0,0.01887,1.0,0.4902,0.50505
KPYM_TIMP2,0.80233,1.0,0.04651,1.0,0.53933,0.51515
TIMP2_KPYM,0.80233,1.0,0.06977,1.0,0.54545,0.0101
PERM_TIMP2,0.77353,1.0,0.09259,1.0,0.49485,0.51515
TIMP2_PERM,0.77353,1.0,0.05556,1.0,0.48485,0.0101
MMP9_TIMP2,0.74571,0.98,0.04762,0.66667,0.55056,0.51515
TIMP2_MMP9,0.74571,1.0,0.02381,1.0,0.54945,0.07071
HSPB1_CLIC1,0.74538,1.0,0.01923,1.0,0.49505,0.26263
CLIC1_HSPB1,0.74538,1.0,0.05769,1.0,0.50505,0.50505
HSPB1_TIMP2,0.72435,1.0,0.02,1.0,0.48421,0.50505
TIMP2_HSPB1,0.72435,1.0,0.02,1.0,0.48421,0.0101
PIGR_CLIC1,0.71488,1.0,0.02273,1.0,0.50575,0.11111
CLIC1_PIGR,0.71488,0.95455,0.15909,0.77778,0.53165,0.50505
AGRIN_HSPB1,0.69137,0,0,0,0,0.5
HSPB1_AGRIN,0.69137,0,0,0,0,0.5
PERM_PIGR,0.68996,0.97619,0.3913,0.94737,0.5942,0.50505
PIGR_PERM,0.68996,1.0,0.02174,1.0,0.48276,0.19192
AGRIN_PIGR,0.68957,0,0,0,0,0.5
PIGR_AGRIN,0.68957,0.97727,0.02273,0.5,0.5,0.31313
MMP9_PIGR,0.65541,0,0,0,0,0.5
PIGR_MMP9,0.65541,1.0,0.02703,1.0,0.55,0.43434
KPYM_CLIC1,0.65385,1.0,0.02222,1.0,0.54167,0.15152
CLIC1_KPYM,0.65385,1.0,0.02222,1.0,0.54167,0.50505
KPYM_PIGR,0.60748,0,0,0,0,0.5
PIGR_KPYM,0.60748,1.0,0.02857,1.0,0.55263,0.42424
HSPB1_PERM,0.59827,1.0,0.01887,1.0,0.48,0.40404
PERM_HSPB1,0.59827,0,0,0,0,0.5
KPYM_AGRIN,0.5859,0,0,0,0,0.5
AGRIN_KPYM,0.5859,0.96154,0.06667,0.6,0.54348,0.50505
MMP9_CLIC1,0.58398,1.0,0.02326,1.0,0.5625,0.26263
CLIC1_MMP9,0.58398,1.0,0.04651,1.0,0.56842,0.50505
MMP9_HSPB1,0.58238,0,0,0,0,0.5
HSPB1_MMP9,0.58238,0,0,0,0,0.5
HSPB1_PIGR,0.57491,0,0,0,0,0.5
PIGR_HSPB1,0.57491,0.97561,0.02381,0.5,0.49383,0.36364
AGRIN_CLIC1,0.57339,1.0,0.01852,1.0,0.50467,0.33333
CLIC1_AGRIN,0.57339,0,0,0,0,0.5
KPYM_HSPB1,0.56638,0,0,0,0,0.5
HSPB1_KPYM,0.56638,0,0,0,0,0.5
PERM_CLIC1,0.56469,1.0,0.01818,1.0,0.49057,0.18182
CLIC1_PERM,0.56469,0,0,0,0,0.5
MMP9_AGRIN,0.5463,1.0,0.02273,1.0,0.5567,0.46465
AGRIN_MMP9,0.5463,1.0,0.04545,1.0,0.5625,0.50505
