preferredName_A	preferredName_B	score
APC	CSNK1A1	0.999
APC	GSK3B	0.999
APC	AXIN1	0.999
APC	CTNNB1	0.999
APC	AXIN2	0.999
APC	ARHGEF4	0.999
APC	AMER1	0.998
APC	BTRC	0.998
APC	GSK3A	0.997
APC	DVL1	0.989
APC	SPATA13	0.983
APC	JUP	0.98
APC	CTNNA1	0.975
APC	SIAH1	0.973
APC	CTBP1	0.965
APC	ASAP1	0.964
APC	DVL2	0.964
APC	TCF7	0.956
APC	KHDRBS1	0.954
APC	MAPRE1	0.952
APC	CTNNBIP1	0.951
APC	SKP1	0.944
APC	ZRANB1	0.936
APC	DVL3	0.931
APC	PTPN13	0.929
APC	CDH1	0.92
APC	APC2	0.911
APC	TBL1X	0.908
APC	TBL1XR1	0.903
APC	LRP5	0.903
APC	TBL1Y	0.902
APC	CSNK1A1L	0.902
